,Rec_Id,speaker,timestamp,text,strategy,source,utterance_length,game_id,voted_for,end_role,votes_target,winner
35,73,hunter,204,You said that I'm not a villager.,['Accusation'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
36,76,hunter,213,Yeah. If you insist.,['No Strategy'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
37,79,hunter,219,State your case.,['Call for Action'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
38,83,hunter,225,If the other one's not incentive...,['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
39,87,hunter,237,"Wait, I could do that for you.",['No Strategy'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
40,90,hunter,241,Count for me?,['Interrogation'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
41,92,hunter,243,"Yeah. Okay. 3, 2, 1.",['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
42,93,hunter,245,Joe.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
43,95,hunter,246,Joe Mama.,['Defense'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
44,103,hunter,269,"Hey guys, can you fill out the following form?",['No Strategy'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
45,107,hunter,1,"Oh, is that so?",['Interrogation'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
46,110,hunter,12,"Although, it changes subjects.",['No Strategy'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
47,112,hunter,15,What?,['Interrogation'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
48,117,hunter,20,"Well, one of them are lying or no. Well, what are all the rules?","['Accusation', 'Interrogation']",Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
49,118,hunter,26,What do we know is as a whole right now?,['Interrogation'],Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
50,120,hunter,30,Wait and number.,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
51,123,hunter,35,So how many villages and how many wear wolves? Two of you?,['Interrogation'],Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
52,125,hunter,38,"2, 2,",['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
53,127,hunter,40,"2, 2. Robber, troublemaker, seer?",['Interrogation'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
54,129,hunter,44,Okay.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
55,132,hunter,49,"No, it is important.",['Defense'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
56,136,hunter,54,So one of us three is lying.,"['Accusation', 'Evidence']",Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
57,138,hunter,59,"One of us, four, actually one of us four could also not be lying.",['Accusation'],Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
58,140,hunter,66,I am one of the cards that messes up other people. So robber or troublemaker.,"['Identity Declaration', 'Defense']",Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
59,146,hunter,82,Then Zack's lying.,['Accusation'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
60,148,hunter,84,"But if Zack's trouble - because you could be a werewolf. But if Zack's troublemaker and you say you're the robber and I'm the robber, then you're lying.",['Accusation'],Ego4D,28,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
61,150,hunter,90,But you both could be telling the truth and I could be lying.,['Accusation'],Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
62,152,hunter,97,"Oh, big. I forgot about that part.",['No Strategy'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
63,154,hunter,102,Yeah.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
64,162,hunter,125,It was a test run.,['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
65,170,hunter,144,You can narrate this. You could narrate anything.,['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
66,172,hunter,156,You are a mobile app designer.,['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
67,174,hunter,160,You could move you one of these in your spare time. Yeah.,['No Strategy'],Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
68,176,hunter,168,Nice.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
69,189,hunter,214,Seanson Johansson.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
70,191,hunter,226,I don't think...,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
71,193,hunter,230,No you're good.,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
72,198,hunter,238,Everyone wake up.,['Call for Action'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
73,201,hunter,255,I just reminded me of the Eric Andre show and he's on the subway with all the stuff taped to his body.,['No Strategy'],Ego4D,22,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
74,202,hunter,261,I talk about...,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
75,204,hunter,269,"Well, show me dis man's balls.",['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
76,206,hunter,279,Okay. So at what point do we just wait for my friend to stop texting and then go.,['No Strategy'],Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
77,214,hunter,296,"If you pause it, can you go back to settings or does it force you?",['No Strategy'],Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
78,216,hunter,301,I don't...,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
79,221,hunter,312,Damn.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
80,225,hunter,317,"Well, do we?",['Interrogation'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
81,227,hunter,331,"So we only do one, right?",['Interrogation'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
82,229,hunter,335,It's one night. That's the whole thing.,['No Strategy'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
83,231,hunter,342,"Yes. I think. If no player receives more than one vote, no one dies.",['No Strategy'],Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
84,232,hunter,346,So we could just all vote for ourselves or each other?,"['Interrogation', 'Call for Action']",Ego4D,11,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
85,234,hunter,351,You have to. Then we just don't have...,['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
86,13,jacob,62,What a night.,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
87,17,jacob,66,It's fine. We're good. We're good.,['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
88,19,jacob,70,"Yeah. I'm wondering how this is going to work because the AC is going, but it's a pretty quiet room. You know what I'm saying?",['No Strategy'],Ego4D,25,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
89,23,jacob,85,That might be good.,['No Strategy'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
90,31,jacob,93,I think we're going for it.,['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
91,36,jacob,105,"Are we supposed to decide things right now? ""Everyone wake up."" I assume... Do we vote somebody?",['No Strategy'],Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
92,40,jacob,118,"Card sliding was the troublemaker, right?",['Interrogation'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
93,42,jacob,126,Remember? I remember it being the troublemaker.,['No Strategy'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
94,45,jacob,134,Okay. Okay.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
95,48,jacob,139,"With one werewolf, right?",['Interrogation'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
96,53,jacob,145,"So, there could be two. There could be one. There could be none.",['No Strategy'],Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
97,57,jacob,155,Interesting.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
98,59,jacob,157,"Well, I'll go ahead and begin.",['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
99,60,jacob,160,I have the conscience of a newborn baby. Absolute infant because I'm a villager.,['Identity Declaration'],Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
100,61,jacob,166,"So, I get to sit and relax and watch all this play out. I love these games so much because I get a card like this every single time.",['No Strategy'],Ego4D,29,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
101,63,jacob,175,And I just get to sit here and watch stuff happen to me. That's good.,['No Strategy'],Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
102,72,jacob,200,"I don't know what any of that means. All of what you just said,",['No Strategy'],Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
103,74,jacob,204,Do you typically relax when you lie to people? You take a nice calm...,['Accusation'],Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
104,75,jacob,211,Position like that.,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
105,82,jacob,224,What?,['Interrogation'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
106,84,jacob,229,I'm going to count down from three and then you have to tell me what you are.,['Call for Action'],Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
107,85,jacob,231,"1, 2, 3.",['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
108,88,jacob,238,Yeah? Okay.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
109,89,jacob,241,Do it.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
110,91,jacob,242,Count?,['Interrogation'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
111,94,jacob,246,Joe?,['Interrogation'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
112,96,jacob,248,I couldn't even ask.,['No Strategy'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
113,97,jacob,251,Johnson. What are you?,['Interrogation'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
114,99,jacob,252,Robber? Okay. I like the honesty.,['Interrogation'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
115,101,jacob,257,And then blatant. Man's a werewolf.,['Accusation'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
116,102,jacob,263,"You're like, well, I can't claim to be a billionaire because that's just going too far. And, how many villagers are in this pile?",['Interrogation'],Ego4D,24,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
117,104,jacob,271,Oh.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
118,106,jacob,0,I'm not lying.,['Defense'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
119,108,jacob,1,Look into my eyes.,['Call for Action'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
120,114,jacob,16,"Zack, what is your role?",['Interrogation'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
121,116,jacob,19,Okay.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
122,121,jacob,31,"So one of each, except",['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
123,124,jacob,36,Two of each.,['Evidence'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
124,128,jacob,43,Yes.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
125,133,jacob,51,"Okay. Well, you know.",['No Strategy'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
126,135,jacob,54,You know.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
127,139,jacob,63,So I'm a villager. You say you are?,"['Identity Declaration', 'Interrogation']",Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
128,142,jacob,73,Okay.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
129,144,jacob,75,So you say robber or troublemaker is your little...,['No Strategy'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
130,149,jacob,89,To be fair...,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
131,153,jacob,100,"Oh, cause you looked at your card after you weren't supposed to, right?","['Accusation', 'Interrogation']",Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
132,155,jacob,104,"Okay, I'm sorry. Actually there's a rule. We're good.",['No Strategy'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
133,156,jacob,108,We're good boys. We're good boys. We're all right.,['No Strategy'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
134,158,jacob,112,"There's no conflict with this game. It's just snacks and boots. So we're not supposed to be looking at our card, so whoopsies.",['No Strategy'],Ego4D,23,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
135,160,jacob,121,We'll figure that one out next round. We'll work on that one.,['No Strategy'],Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
136,163,jacob,126,Has it been five minutes?,['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
137,165,jacob,129,Is that what you set the timer for? Five?,['No Strategy'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
138,169,jacob,139,"Everyone, go to sleep.",['Call for Action'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
139,171,jacob,146,I appreciate that. It's a little visceral sound.,['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
140,173,jacob,159,"Yeah, I am.",['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
141,175,jacob,162,Do you know how dignifying that is to tell people I make mobile games for eight year olds.,['No Strategy'],Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
142,177,jacob,169,"I literally have to take into consideration the size of thumbs and how, when I test stuff, my thumb is two times the size of basically my entire market share of the clientele. Seriously. Wow. That's my thumb.",['No Strategy'],Ego4D,38,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
143,179,jacob,189,"No, it's a genetic thing. It's a genetic thing. W.",['No Strategy'],Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
144,181,jacob,195,"Sean, you seen Scarlet Johansson's thumbs?",['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
145,183,jacob,200,"So it's a legitimate, it's a genetic thing.",['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
146,185,jacob,204,But she's got it too.,['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
147,188,jacob,208,Take off your ball cap. Johansson is in a room with us. She could be anyone of us.,['No Strategy'],Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
148,190,jacob,222,"My phone dinged. It could be from the thing, but I shouldn't look at it.",['No Strategy'],Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
149,195,jacob,233,"Hey guys, have you been woke yet?",['Interrogation'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
150,197,jacob,237,Have you woke yet?,['Interrogation'],Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
151,200,jacob,242,"Am I woke? Do you think all these sensors can tell when I make like little burps?Little quiet, little silent ones that I hope no one pays attention to.",['Interrogation'],Ego4D,29,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
152,203,jacob,262,Drink from me. My body is your communion.,['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
153,205,jacob,272,It's going in a public database.,['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
